Hour,P_PV_to_Load,P_PV_to_BESS,P_PV_curtailment,P_PV_to_Grid,P_BESS_to_Load,P_BESS_to_Grid,P_Grid_to_Load,P_Grid_to_BESS,SoC,sum_power_flows
0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,12000.0,1020.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,12000.0,1008.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,0.0,12000.0,1086.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,0.0,12000.0,1128.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,0.0,12000.0,1032.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,12000.0,1014.0
6,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,12000.0,1008.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1044.0,0.0,12000.0,1044.0
8,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,0.0,12000.0,1104.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,0.0,12000.0,1056.0
10,23.45055,0.0,0.0,0.0,0.0,0.0,1027.2529665,0.0,12000.0,1050.7035165
11,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,12000.0,1050.0
12,32.45745,0.0,0.0,0.0,0.0,0.0,1066.5162735,0.0,12000.0,1098.9737235
13,54.92505,0.0,0.0,0.0,0.0,0.0,1056.7227015,0.0,12000.0,1111.6477515
14,17.8923,0.0,0.0,0.0,0.0,0.0,1080.644469,0.0,12000.0,1098.536769
15,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,0.0,12000.0,1128.0
16,0.0,0.0,0.0,0.0,1367.69759450172,0.0,2.6303754897763802e-14,0.0,10433.3360887724,1367.69759450172
17,0.0,0.0,0.0,0.0,40.0838487972521,0.0,1123.0068,0.0,10387.4210271489,1163.0906487972522
18,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,0.0,10387.4210271489,1368.0
19,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,0.0,10387.4210271489,1446.0
20,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,0.0,10387.4210271489,1446.0
21,0.0,0.0,0.0,0.0,0.0,0.0,1464.0,0.0,10387.4210271489,1464.0
22,0.0,0.0,0.0,0.0,0.0,0.0,1524.0,0.0,10387.4210271489,1524.0
23,0.0,0.0,0.0,0.0,0.0,0.0,1488.0,0.0,10387.4210271489,1488.0
24,0.0,0.0,0.0,0.0,0.0,0.0,1536.0,0.0,10387.4210271489,1536.0
25,0.0,0.0,0.0,0.0,0.0,0.0,1548.0,0.0,10387.4210271489,1548.0
26,0.0,0.0,0.0,0.0,0.0,0.0,1518.0,0.0,10387.4210271489,1518.0
27,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,0.0,10387.4210271489,1584.0
28,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,0.0,10387.4210271489,1578.0
29,0.0,0.0,0.0,0.0,0.0,0.0,1572.0,0.0,10387.4210271489,1572.0
30,0.0,0.0,0.0,0.0,0.0,0.0,1692.0,0.0,10387.4210271489,1692.0
31,0.0,0.0,0.0,0.0,0.0,0.0,1806.0,0.0,10387.4210271489,1806.0
32,0.0,0.0,0.0,0.0,0.0,0.0,1770.0,0.0,10387.4210271489,1770.0
33,32.66595,0.0,0.0,0.0,0.0,0.0,1738.3140285,0.0,10387.4210271489,1770.9799785
34,89.84595,0.0,0.0,0.0,0.0,0.0,1658.8494285,0.0,10387.4210271489,1748.6953784999998
35,325.842,0.0,0.0,0.0,0.0,0.0,1405.93326,0.0,10387.4210271489,1731.77526
36,236.7285,0.0,0.0,0.0,0.0,0.0,1504.373355,0.0,10387.4210271489,1741.101855
37,50.50905,0.0,0.0,0.0,0.0,0.0,1637.0062215,0.0,10387.4210271489,1687.5152715
38,52.2432,0.0,0.0,0.0,0.0,0.0,1695.324096,0.0,10387.4210271489,1747.5672960000002
39,0.0,0.0,0.0,0.0,1972.50859106529,0.0,-8.17612491646974e-14,0.0,8127.96101447393,1972.50859106529
40,0.0,0.0,0.0,0.0,2048.10996563574,0.0,1.0322784398943599e-13,0.0,5781.90148911798,2048.10996563574
41,0.0,0.0,0.0,0.0,2048.10996563574,0.0,1.0322784398943599e-13,0.0,3435.84196376204,2048.10996563574
42,0.0,0.0,0.0,0.0,1951.89003436426,0.0,-9.612241663183551e-14,0.0,1200.0,1951.89003436426
43,0.0,0.0,0.0,0.0,0.0,0.0,1656.0,0.0,1200.0,1656.0
44,0.0,0.0,0.0,0.0,0.0,0.0,1710.0,0.0,1200.0,1710.0
45,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1200.0,1674.0
46,0.0,0.0,0.0,0.0,0.0,0.0,1626.0,0.0,1200.0,1626.0
47,0.0,0.0,0.0,0.0,0.0,0.0,1620.0,0.0,1200.0,1620.0
48,0.0,0.0,0.0,0.0,0.0,0.0,1590.0,0.0,2400.0,1590.0
49,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,0.0,2400.0,1578.0
50,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,3000.0,4873.5,1578.0
51,0.0,0.0,0.0,0.0,0.0,0.0,1596.0,3000.0,7347.0,1596.0
52,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,3000.0,9820.5,1578.0
53,0.0,0.0,0.0,0.0,0.0,0.0,1602.0,3000.0,12294.0,1602.0
54,0.0,0.0,0.0,0.0,0.0,0.0,1542.0,3000.0,14767.5,1542.0
55,0.0,0.0,0.0,0.0,0.0,0.0,1644.0,0.0,14767.5,1644.0
56,0.0,0.0,0.0,0.0,0.0,0.0,1842.0,0.0,14767.5,1842.0
57,4.977315,0.0,0.0,0.0,0.0,0.0,1789.17200445,0.0,14767.5,1794.14931945
58,113.78565,0.0,0.0,0.0,0.0,0.0,1683.6279195,0.0,14767.5,1797.4135695
59,355.296,0.0,0.0,0.0,0.0,0.0,1515.36288,0.0,14767.5,1870.65888
60,294.9705,0.0,0.0,0.0,0.0,0.0,1543.878615,0.0,14767.5,1838.849115
61,66.22365,0.0,0.0,0.0,0.0,0.0,1765.7630595,0.0,14767.5,1831.9867095
62,29.68995,0.0,0.0,0.0,0.0,0.0,1861.2007485,0.0,14767.5,1890.8906985
63,0.0,0.0,0.0,0.0,0.0,0.0,1830.0,0.0,14767.5,1830.0
64,0.0,0.0,0.0,0.0,0.0,0.0,1878.0,0.0,14767.5,1878.0
65,0.0,0.0,0.0,0.0,0.0,0.0,1878.0,0.0,14767.5,1878.0
66,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,14767.5,1944.0
67,0.0,0.0,0.0,0.0,0.0,0.0,1878.0,0.0,14767.5,1878.0
68,0.0,0.0,0.0,0.0,0.0,0.0,1992.0,0.0,14767.5,1992.0
69,0.0,0.0,0.0,0.0,0.0,0.0,2034.0,0.0,14767.5,2034.0
70,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.0,14767.5,2016.0
