Hour,P_PV_to_Load,P_PV_to_BESS,P_PV_curtailment,P_PV_to_Grid,P_BESS_to_Load,P_BESS_to_Grid,P_Grid_to_Load,P_Grid_to_BESS,SoC,sum_power_flows
0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,12000.0,1020.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,12000.0,1008.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,0.0,12000.0,1086.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,0.0,12000.0,1128.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,0.0,12000.0,1032.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,12000.0,1014.0
6,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,12000.0,1008.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1044.0,0.0,12000.0,1044.0
8,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,0.0,12000.0,1104.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,0.0,12000.0,1056.0
10,60.97143,0.0,0.0,0.0,0.0,0.0,990.8577129,0.0,12000.0,1051.8291429
11,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,12000.0,1050.0
12,84.38937,0.0,0.0,0.0,0.0,0.0,1016.1423111,0.0,12000.0,1100.5316811
13,142.80513,0.0,0.0,0.0,0.0,0.0,971.4790239,0.0,12000.0,1114.2841539
14,46.51998,0.0,0.0,0.0,0.0,0.0,1052.8756194,0.0,12000.0,1099.3955994
15,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,0.0,12000.0,1128.0
16,0.0,0.0,0.0,0.0,1367.69759450172,0.0,0.0,0.0,10433.3360887724,1367.69759450172
17,0.0,0.0,0.0,0.0,40.0838487972521,0.0,1123.0068,0.0,10387.4210271489,1163.0906487972522
18,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,0.0,10387.4210271489,1368.0
19,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,0.0,10387.4210271489,1446.0
20,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,0.0,10387.4210271489,1446.0
21,0.0,0.0,0.0,0.0,0.0,0.0,1464.0,0.0,10387.4210271489,1464.0
22,0.0,0.0,0.0,0.0,0.0,0.0,1524.0,0.0,10387.4210271489,1524.0
23,0.0,0.0,0.0,0.0,0.0,0.0,1488.0,0.0,10387.4210271489,1488.0
24,0.0,0.0,0.0,0.0,0.0,0.0,1536.0,0.0,10387.4210271489,1536.0
25,0.0,0.0,0.0,0.0,0.0,0.0,1548.0,0.0,10387.4210271489,1548.0
26,0.0,0.0,0.0,0.0,0.0,0.0,1518.0,0.0,10387.4210271489,1518.0
27,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,0.0,10387.4210271489,1584.0
28,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,0.0,10387.4210271489,1578.0
29,0.0,0.0,0.0,0.0,0.0,0.0,1572.0,0.0,10387.4210271489,1572.0
30,0.0,0.0,0.0,0.0,0.0,0.0,1692.0,0.0,10387.4210271489,1692.0
31,0.0,0.0,0.0,0.0,0.0,0.0,1806.0,0.0,10387.4210271489,1806.0
32,0.0,0.0,0.0,0.0,0.0,0.0,1770.0,0.0,10387.4210271489,1770.0
33,84.93147,0.0,0.0,0.0,0.0,0.0,1687.6164741,0.0,10387.4210271489,1772.5479441
34,233.59947,0.0,0.0,0.0,0.0,0.0,1519.4085141,0.0,10387.4210271489,1753.0079841000002
35,847.1892,0.0,0.0,0.0,0.0,0.0,900.226476,0.0,10387.4210271489,1747.415676
36,615.4941,0.0,0.0,0.0,0.0,0.0,1136.970723,0.0,10387.4210271489,1752.4648229999998
37,131.32353,0.0,0.0,0.0,0.0,0.0,1558.6161759,0.0,10387.4210271489,1689.9397058999998
38,135.83232,0.0,0.0,0.0,0.0,0.0,1614.2426496,0.0,10387.4210271489,1750.0749696
39,0.0,0.0,0.0,0.0,1972.50859106529,0.0,0.0,0.0,8127.96101447393,1972.50859106529
40,0.0,0.0,0.0,0.0,2048.10996563574,0.0,0.0,0.0,5781.90148911798,2048.10996563574
41,0.0,0.0,0.0,0.0,2048.10996563574,0.0,0.0,0.0,3435.84196376204,2048.10996563574
42,0.0,0.0,0.0,0.0,1951.89003436426,0.0,0.0,0.0,1200.0,1951.89003436426
43,0.0,0.0,0.0,0.0,0.0,0.0,1656.0,0.0,1200.0,1656.0
44,0.0,0.0,0.0,0.0,0.0,0.0,1710.0,0.0,1200.0,1710.0
45,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1200.0,1674.0
46,0.0,0.0,0.0,0.0,0.0,0.0,1626.0,0.0,1200.0,1626.0
47,0.0,0.0,0.0,0.0,0.0,0.0,1620.0,0.0,1200.0,1620.0
48,0.0,0.0,0.0,0.0,0.0,0.0,1590.0,0.0,2400.0,1590.0
49,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,0.0,2400.0,1578.0
50,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,0.0,2400.0,1578.0
51,0.0,0.0,0.0,0.0,0.0,0.0,1596.0,12000.0,12294.0,1596.0
52,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,12000.0,22188.0,1578.0
53,0.0,0.0,0.0,0.0,0.0,0.0,1602.0,742.268041237113,22800.0,1602.0
54,0.0,0.0,0.0,0.0,0.0,0.0,1542.0,0.0,22800.0,1542.0
55,0.0,0.0,0.0,0.0,0.0,0.0,1644.0,0.0,22800.0,1644.0
56,0.0,0.0,0.0,0.0,0.0,0.0,1842.0,0.0,22800.0,1842.0
57,12.941019,0.0,0.0,0.0,0.0,0.0,1781.44721157,0.0,22800.0,1794.38823057
58,295.84269,0.0,0.0,0.0,0.0,0.0,1507.0325907,0.0,22800.0,1802.8752807
59,923.7696,0.0,0.0,0.0,0.0,0.0,963.943488,0.0,22800.0,1887.713088
60,766.9233,0.0,0.0,0.0,0.0,0.0,1086.084399,0.0,22800.0,1853.007699
61,172.18149,0.0,0.0,0.0,0.0,0.0,1662.9839547,0.0,22800.0,1835.1654447
62,77.19387,0.0,0.0,0.0,0.0,0.0,1815.1219461,0.0,22800.0,1892.3158161
63,0.0,0.0,0.0,0.0,0.0,0.0,1830.0,0.0,22800.0,1830.0
64,0.0,0.0,0.0,0.0,0.0,0.0,1878.0,0.0,22800.0,1878.0
65,0.0,0.0,0.0,0.0,0.0,0.0,1878.0,0.0,22800.0,1878.0
66,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,22800.0,1944.0
67,0.0,0.0,0.0,0.0,0.0,0.0,1878.0,0.0,22800.0,1878.0
68,0.0,0.0,0.0,0.0,0.0,0.0,1992.0,0.0,22800.0,1992.0
69,0.0,0.0,0.0,0.0,0.0,0.0,2034.0,0.0,22800.0,2034.0
70,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.0,22800.0,2016.0
71,0.0,0.0,0.0,0.0,0.0,0.0,2058.0,0.0,22800.0,2058.0
